Designator,Footprint,Quantity,Value,LCSC Part #
"BT1_4, BT1_3, BT1_2, BT1, BT2_4, BT2_3, BT2_2, BT2",BatteryHolder_CR2032-BS-6-1,8,Battery_Cell,C70377
"BZ1_4, BZ1_3, BZ1_2, BZ1",MLT-7525,4,Buzzer,C95299
"C1_4, C1_3, C1_2, C1, C11_4, C11_3, C11_2, C11, C12_4, C12_3, C12_2, C12, C13_4, C13_3, C13_2, C13, C14_4, C14_3, C14_2, C14, C2_4, C2_3, C2_2, C2",0805,24,10uF,C15850
"C10_4, C10_3, C10_2, C10, C4_4, C4_3, C4_2, C4, C6_4, C6_3, C6_2, C6",0805,12,100nF,C49678
"C15_4, C15_3, C15_2, C15",CP_EIA-3528-21_Kemet-B_rotated,4,100uF,C16133
"C3_4, C3_3, C3_2, C3, C5_4, C5_3, C5_2, C5, C7_4, C7_3, C7_2, C7, C9_4, C9_3, C9_2, C9",0805,16,22pF,C1804
"C8_4, C8_3, C8_2, C8",0805,4,2.2nF,C36576
"D1_4, D1_3, D1_2, D1",D_SOD-123,4,D_Schottky,C8598
"D2_4, D2_3, D2_2, D2",0805,4,LED,C131250
"F1_4, F1_3, F1_2, F1",0805,4,Polyfuse,C2897461
"J2_4, J2_3, J2_2, J2, J3_4, J3_3, J3_2, J3",PinSocket_2x12_P2.54mm_Vertical_SMD_rotated,8,Conn_02x12_Odd_Even,C3975157
"J4_4, J4_3, J4_2, J4",PinSocket_2x03_P2.54mm_Vertical_SMD_rotated,4,Conn_02x03_Odd_Even,C5160818
"J5_4, J5_3, J5_2, J5",USB_Micro_MICRO QTZB5.5_C2681557,4,USB_B_Micro,C2681557
"KiKit_FID_B_1, KiKit_FID_B_2, KiKit_FID_B_3, KiKit_FID_B_4, KiKit_FID_T_1, KiKit_FID_T_2, KiKit_FID_T_3, KiKit_FID_T_4",Fiducial,8,Fiducial,
"KiKit_TO_1, KiKit_TO_2, KiKit_TO_3, KiKit_TO_4",NPTH,4,NPTH,
"L1_4, L1_3, L1_2, L1",0805,4,2.2uH,C1043
"R1_4, R1_3, R1_2, R1, R10_4, R10_3, R10_2, R10, R13_4, R13_3, R13_2, R13, R4_4, R4_3, R4_2, R4, R8_4, R8_3, R8_2, R8",0805,20,330,C17630
"R11_4, R11_3, R11_2, R11",0805,4,47R,C17714
"R12_4, R12_3, R12_2, R12, R2_4, R2_3, R2_2, R2, R3_4, R3_3, R3_2, R3, R5_4, R5_3, R5_2, R5, R6_4, R6_3, R6_2, R6, R7_4, R7_3, R7_2, R7, R9_4, R9_3, R9_2, R9",0805,28,4k7,C17673
"SW1_4, SW1_3, SW1_2, SW1, SW2_4, SW2_3, SW2_2, SW2",SW_SP3T_SSSS812201,8,SW_SP3T,C160878
"U1_4, U1_3, U1_2, U1, U4_4, U4_3, U4_2, U4, U5_4, U5_3, U5_2, U5, U7_4, U7_3, U7_2, U7",SOT-23-6_rotated,16,TC233A,C2798022
"U10_4, U10_3, U10_2, U10",SOT-23-3,4,BL8536,
"U2_4, U2_3, U2_2, U2",AHT20,4,AHT20,C2757850
"U3_4, U3_3, U3_2, U3",LQFP-32_7x7mm_P0.8mm,4,STM32F030K6Tx,C46830
"U6_4, U6_3, U6_2, U6",LQFP-48_7x7mm_P0.5mm,4,HT1621B-LQFP,C7532
"U8_4, U8_3, U8_2, U8",IRM-H638J7,4,IRM-H638J7,C414640
"U9_4, U9_3, U9_2, U9",SOT-23-3,4,LR6206B-U33,C5336486
