Designator,Mid X,Mid Y,Rotation,Layer
BT1_4,110.0,-28.5005,90.0,bottom
BT1_3,173.0,-28.5005,90.0,bottom
BT1_2,236.0,-28.5005,90.0,bottom
BT1,47.0,-28.5005,90.0,bottom
BT2_4,139.0,-28.5005,90.0,bottom
BT2_3,13.0,-28.5005,90.0,bottom
BT2_2,76.0,-28.5005,90.0,bottom
BT2,202.0,-28.5005,90.0,bottom
BZ1_4,219.0,-79.0005,90.0,bottom
BZ1_3,93.0,-79.0005,90.0,bottom
BZ1_2,156.0,-79.0005,90.0,bottom
BZ1,30.0,-79.0005,90.0,bottom
C1_4,195.5,-78.0005,180.0,bottom
C1_3,6.5,-78.0005,180.0,bottom
C1_2,69.5,-78.0005,180.0,bottom
C1,132.5,-78.0005,180.0,bottom
C10_4,204.5,-64.5005,225.0,top
C10_3,15.5,-64.5005,225.0,top
C10_2,78.5,-64.5005,225.0,top
C10,141.5,-64.5005,225.0,top
C11_4,236.5,-84.0005,180.0,bottom
C11_3,173.5,-84.0005,180.0,bottom
C11_2,110.5,-84.0005,180.0,bottom
C11,47.5,-84.0005,180.0,bottom
C12_4,236.5,-76.0005,180.0,bottom
C12_3,110.5,-76.0005,180.0,bottom
C12_2,173.5,-76.0005,180.0,bottom
C12,47.5,-76.0005,180.0,bottom
C13_4,173.5,-69.0005,180.0,bottom
C13_3,110.5,-69.0005,180.0,bottom
C13_2,47.5,-69.0005,180.0,bottom
C13,236.5,-69.0005,180.0,bottom
C14_4,47.5,-59.5005,0.0,bottom
C14_3,236.5,-59.5005,0.0,bottom
C14_2,110.5,-59.5005,0.0,bottom
C14,173.5,-59.5005,0.0,bottom
C15_4,111.0,-53.0005,180.0,bottom
C15_3,174.0,-53.0005,180.0,bottom
C15_2,48.0,-53.0005,180.0,bottom
C15,237.0,-53.0005,180.0,bottom
C2_4,227.5,-61.5005,270.0,bottom
C2_3,164.5,-61.5005,270.0,bottom
C2_2,101.5,-61.5005,270.0,bottom
C2,38.5,-61.5005,270.0,bottom
C3_4,217.0,-17.0005,0.0,bottom
C3_3,154.0,-17.0005,0.0,bottom
C3_2,91.0,-17.0005,0.0,bottom
C3,28.0,-17.0005,0.0,bottom
C4_4,39.75,-67.5005,0.0,bottom
C4_3,228.75,-67.5005,0.0,bottom
C4_2,102.75,-67.5005,0.0,bottom
C4,165.75,-67.5005,0.0,bottom
C5_4,32.0,-17.0005,180.0,bottom
C5_3,158.0,-17.0005,180.0,bottom
C5_2,95.0,-17.0005,180.0,bottom
C5,221.0,-17.0005,180.0,bottom
C6_4,167.0,-61.5005,270.0,bottom
C6_3,104.0,-61.5005,270.0,bottom
C6_2,230.0,-61.5005,270.0,bottom
C6,41.0,-61.5005,270.0,bottom
C7_4,154.0,-40.0005,0.0,bottom
C7_3,217.0,-40.0005,0.0,bottom
C7_2,28.0,-40.0005,0.0,bottom
C7,91.0,-40.0005,0.0,bottom
C8_4,68.0,-49.0005,90.0,bottom
C8_3,5.0,-49.0005,90.0,bottom
C8_2,194.0,-49.0005,90.0,bottom
C8,131.0,-49.0005,90.0,bottom
C9_4,95.0,-40.0005,180.0,bottom
C9_3,221.0,-40.0005,180.0,bottom
C9_2,158.0,-40.0005,180.0,bottom
C9,32.0,-40.0005,180.0,bottom
D1_4,84.5,-82.5005,0.0,bottom
D1_3,147.5,-82.5005,0.0,bottom
D1_2,210.5,-82.5005,0.0,bottom
D1,21.5,-82.5005,0.0,bottom
D2_4,241.5,-29.188,270.0,top
D2_3,115.5,-29.188,270.0,top
D2_2,52.5,-29.188,270.0,top
D2,178.5,-29.188,270.0,top
F1_4,47.5,-56.5005,0.0,bottom
