Designator,Mid X,Mid Y,Rotation,Layer
BT1,91.0,-70.0,90.0,bottom
BT2,57.0,-70.0,90.0,bottom
BZ1,74.0,-120.5,90.0,bottom
C1,50.5,-119.5,180.0,bottom
C10,59.5,-106.0,225.0,top
C11,91.5,-125.5,180.0,bottom
C12,91.5,-117.5,180.0,bottom
C13,91.5,-110.5,180.0,bottom
C14,91.5,-101.0,0.0,bottom
C15,92.0,-94.5,180.0,bottom
C2,82.5,-103.0,270.0,bottom
C3,72.0,-58.5,0.0,bottom
C4,83.75,-109.0,0.0,bottom
C5,76.0,-58.5,180.0,bottom
C6,85.0,-103.0,270.0,bottom
C7,72.0,-81.5,0.0,bottom
C8,49.0,-90.5,90.0,bottom
C9,76.0,-81.5,180.0,bottom
D1,65.5,-124.0,0.0,bottom
D2,96.5,-70.6875,270.0,top
F1,91.5,-98.0,0.0,bottom
J2,74.0,-99.0,0.0,top
J3,74.0,-121.86,0.0,top
J4,74.0,-89.0,0.0,bottom
J5,98.8475,-113.0,270.0,bottom
L1,91.5,-108.0,0.0,bottom
R1,50.5,-117.0,180.0,bottom
R10,67.0,-120.0,270.0,bottom
R11,49.05,-85.45,90.0,bottom
R12,80.0,-81.5,0.0,bottom
R13,99.5,-70.6875,90.0,top
R2,51.75,-113.5,270.0,bottom
R3,49.25,-113.5,270.0,bottom
R4,62.5,-113.0,270.0,bottom
R5,68.0,-58.5,180.0,bottom
R6,84.0,-94.0,90.0,bottom
R7,80.0,-58.5,0.0,bottom
R8,64.0,-120.0,90.0,bottom
R9,68.0,-81.5,180.0,bottom
SW1,99.675,-99.0,270.0,bottom
SW2,48.325,-99.0,90.0,bottom
U1,71.0,-65.0,90.0,bottom
U10,91.5,-104.5,180.0,bottom
U2,50.5,-109.0,180.0,bottom
U3,74.0,-103.0,315.0,bottom
U4,77.0,-65.0,270.0,bottom
U5,71.0,-75.0,90.0,bottom
U6,64.5,-110.5,225.0,top
U7,77.0,-75.0,270.0,bottom
U8,50.0,-70.75,0.0,top
U9,91.5,-121.5,90.0,bottom
